Estrutura,TamanhoN,Padrao,Operacao,TempoMedio_ms,DesvioPadrao_ms,Rotacoes,Altura
BST,1000,Aleatorio,Insercao,0.3350,0.4030,0,26
BST,1000,Aleatorio,Busca,0.2555,0.2005,-,-
BST,1000,Aleatorio,Remocao,0.2949,0.1867,-,-
AVL,1000,Aleatorio,Insercao,0.4405,0.5074,713,11
AVL,1000,Aleatorio,Busca,0.2301,0.1812,-,-
AVL,1000,Aleatorio,Remocao,0.3898,0.3709,-,-
LLRB,1000,Aleatorio,Insercao,0.6935,0.7338,1183,13
LLRB,1000,Aleatorio,Busca,0.1482,0.1232,-,-
LLRB,1000,Aleatorio,Remocao,1.4806,0.9454,-,-
BST,1000,Crescente,Insercao,2.5644,0.0401,0,999
BST,1000,Crescente,Busca,2.3170,0.0507,-,-
BST,1000,Crescente,Remocao,1.5381,0.0299,-,-
AVL,1000,Crescente,Insercao,0.1129,0.0659,990,9
AVL,1000,Crescente,Busca,0.0807,0.0099,-,-
AVL,1000,Crescente,Remocao,0.2210,0.0499,-,-
LLRB,1000,Crescente,Insercao,0.1700,0.0203,991,9
LLRB,1000,Crescente,Busca,0.0713,0.0044,-,-
LLRB,1000,Crescente,Remocao,0.6555,0.0263,-,-
BST,1000,Decrescente,Insercao,2.6018,0.0309,0,999
BST,1000,Decrescente,Busca,1.4166,0.0511,-,-
BST,1000,Decrescente,Remocao,1.3045,0.0156,-,-
AVL,1000,Decrescente,Insercao,0.1311,0.0718,990,9
AVL,1000,Decrescente,Busca,0.0822,0.0123,-,-
AVL,1000,Decrescente,Remocao,0.2108,0.0089,-,-
LLRB,1000,Decrescente,Insercao,0.2006,0.0362,985,14
LLRB,1000,Decrescente,Busca,0.0709,0.0041,-,-
LLRB,1000,Decrescente,Remocao,0.6354,0.0102,-,-
BST,5000,Aleatorio,Insercao,0.7356,0.0195,0,25
BST,5000,Aleatorio,Busca,0.4196,0.0134,-,-
BST,5000,Aleatorio,Remocao,0.8871,0.1345,-,-
AVL,5000,Aleatorio,Insercao,0.9836,0.0454,3493,14
AVL,5000,Aleatorio,Busca,0.5388,0.0365,-,-
AVL,5000,Aleatorio,Remocao,1.3625,0.0543,-,-
LLRB,5000,Aleatorio,Insercao,1.3433,0.0297,5940,15
LLRB,5000,Aleatorio,Busca,0.4237,0.0138,-,-
LLRB,5000,Aleatorio,Remocao,2.7260,0.0343,-,-
BST,5000,Crescente,Insercao,64.7365,0.4835,0,4999
BST,5000,Crescente,Busca,58.6874,2.9861,-,-
